şikayet_metni,kategori
"Hastanedeki lavabolardan su akmıyor, hijyen sorunu büyük.","altyapı,su sorunu"
"Su kesintileri yazın daha da artıyor, klimalar çalışmıyor.","altyapı,su sorunu"
"Temizlik yapamıyoruz, kirliler yafıkanamıyor, kokular oluştu.","altyapı,su sorunu"
"Yemekhanelerde sular kesik, öğrenciler mağdur.","altyapı,su sorunu"
"Su kesintisi konusunda bilgilendirme mesajı alamadık.","altyapı,su sorunu"
"Depodaki su bitti, tanker bile gönderilmedi.","altyapı,su sorunu"
"Musluktan önce hava, sonra su geliyor. Borular hava dolmuş gibi.","altyapı,su sorunu"
"Su basıncı gece sıfıra iniyor, sabahları da çok düşük.","altyapı,su sorunu"
"Mahallemizde yeni taşındık, ilk günden beri su problemi yaşıyoruz.","altyapı,su sorunu"
"Sitelerde aidatlara rağmen su hizmeti yeterli değil.","altyapı,su sorunu"
"Bina hidroforu sağlam ama belediyeden gelen su yok.","altyapı,su sorunu"
"Mahallede toplu bir arıza olduğunu söylüyorlar ama nedenini kimse bilmiyor.","altyapı,su sorunu"
"Evde su olmaması nedeniyle duş alamıyoruz, kişisel temizlik zorlaştı.","altyapı,su sorunu"
"Musluklardan sıcak su yerine buz gibi su geliyor.","altyapı,su sorunu"
"Yaşadığımız bölgeye sürekli en son su veriliyor.","altyapı,su sorunu"
"Su sayaçları uzaktan okunamıyor, sistem arızalı olabilir.","altyapı,su sorunu"
"Depoya su basılmadığı için üst katlarda yaşayanlar büyük sıkıntı yaşıyor.","altyapı,su sorunu"
"Şehir merkezinde böyle uzun süreli kesinti olması kabul edilemez.","altyapı,su sorunu"
"İçme suyu hattında arıza olduğu söylendi ama 4 gündür çözülmedi.","altyapı,su sorunu"
"Her sabah suyu açık bulmak sürpriz oluyor, istikrarsızlık var.","altyapı,su sorunu"
"Musluktan gelen su neredeyse kumlu gibi, su tesisat mı arızalı?","altyapı,su sorunu"
"Evimizde çocuk bezi yıkamamız gerekiyor ama su yok.","altyapı,su sorunu"
"Çamaşırhanemizi açamıyoruz, müşterilerimiz mağdur oluyor.","altyapı,su sorunu"
"Belediyenin sitesinde su kesintisi gözükmüyor ama evde su yok.","altyapı,su sorunu"
"Kombim çalışıyor ama sıcak su gelmiyor, sadece soğuk su akıyor.","altyapı,su sorunu"
"Alt yapı çalışması nedeniyle sürekli su kesintileri oluyor.","altyapı,su sorunu"
"İçme suyunun kokusu değişti, tedirginlik yaşıyoruz.","altyapı,su sorunu"
"Musluk açılınca sadece cızırtı sesi geliyor, su gelmiyor.","altyapı,su sorunu"
"Depo dolu ama daireye su ulaşmıyor, basınç mı yetersiz?","altyapı,su sorunu"
"Musluk suyu neredeyse gri renkte, içemiyoruz.","altyapı,su sorunu"
"Okul kantininde su olmadığı için yemek servis edilemiyor.","altyapı,su sorunu"
"Su kesintileri nedeniyle iş yerimizde işler aksıyor.","altyapı,su sorunu"
"Yaşlı bakım merkezinde su olmaması ciddi sağlık riski oluşturuyor.","altyapı,su sorunu"
"Köyümüzde haftalardır su yok, tanker dahi gönderilmedi.","altyapı,su sorunu"
"Evde küçük bebek var, su olmaması çok zorlayıcı.","altyapı,su sorunu"
"Mahallemizde haftalık kesinti programı talep ediyoruz.","altyapı,su sorunu"
"Site yönetimi belediyeye ulaşamadığını söylüyor, iletişim kopuk.","altyapı,su sorunu"
"Musluklardan ara sıra gelen su da aşırı sıcak oluyor.","altyapı,su sorunu"
"Su sorunu çözülecekti denildi ama hâlâ bir ilerleme yok.","altyapı,su sorunu"
"Yaz aylarında suya en çok ihtiyaç duyulan dönemde susuz kaldık.","altyapı,su sorunu"
"Deprem sonrası su verilemedi ama artık normale dönmesini bekliyoruz.","altyapı,su sorunu"
"Su borusu patladı ama belediye hâlâ müdahale etmedi.","altyapı,su sorunu"
"Sabah erken saatlerde su gidiyor, işe gitmeden duş alamıyoruz.","altyapı,su sorunu"
Musluktan su yerine hava geliyor.,"altyapı,su sorunu"
Sular gece gidiyor sabah yok.,"altyapı,su sorunu"
Yaşlılar susuz kalıyor.,"altyapı,su sorunu"
Su basıncı çok düşük.,"altyapı,su sorunu"
Haber verilmeden sular kesiliyor.,"altyapı,su sorunu"
Su kesintisi nedeniyle iş yerim çalışamıyor.,"altyapı,su sorunu"
Kazı sonrası tamirat yapılmadı.,"altyapı,su sorunu"
Su kesintisi haftalardır devam ediyor.,"altyapı,su sorunu"
Gece gündüz sular kesiliyor.,"altyapı,su sorunu"
Belediye hiçbir duyuru yapmıyor.,"altyapı,su sorunu"
"Sular kesildi, haber de verilmedi.","altyapı,su sorunu"
Çocuklar okula susuz hazırlanıyor.,"altyapı,su sorunu"
Su gelince çamurlu akıyor.,"altyapı,su sorunu"
Kesintiden yaşlılar etkileniyor.,"altyapı,su sorunu"
Belediyenin açıklaması yetersiz.,"altyapı,su sorunu"
Kesinti yüzünden yedek su kalmadı.,"altyapı,su sorunu"
Su ihtiyacımızı karşılayamaz hale geldik.,"altyapı,su sorunu"
Yemek yapamıyoruz.,"altyapı,su sorunu"
Depoda hiç su yok.,"altyapı,su sorunu"
"Su verilmiyor, yemek yapamıyoruz.","altyapı,su sorunu"
Ev taşıdık ama su bağlanmadı.,"altyapı,su sorunu"
"Sular bir gün var, iki gün yok.","altyapı,su sorunu"
Kesintiler yüzünden mağdur oluyoruz.,"altyapı,su sorunu"
İçme suyunu dışarıdan almak zorundayız.,"altyapı,su sorunu"
Su kesintisi psikolojimizi etkiliyor.,"altyapı,su sorunu"
İçme suyu bile bulamıyoruz.,"altyapı,su sorunu"
Çamaşır yıkayamıyoruz.,"altyapı,su sorunu"
Suların kokusu değişti.,"altyapı,su sorunu"
Kesinti açıklaması yapılmadı.,"altyapı,su sorunu"
İki haftadır aynı sorunla uğraşıyoruz.,"altyapı,su sorunu"
Su borusu patladı ama kimse ilgilenmiyor.,"altyapı,su sorunu"
Su tankerleri geç geliyor.,"altyapı,su sorunu"
"İnşaat nedeniyle su kesildi, bilgi verilmedi.","altyapı,su sorunu"
"Yıkanamıyoruz, temizlik imkansız.","altyapı,su sorunu"
Her sabah su kesintisi oluyor.,"altyapı,su sorunu"
Çocuklar banyo yapamıyor.,"altyapı,su sorunu"
"Sular saatlerdir kesik, bilgi verilmiyor.","altyapı,su sorunu"
"Sular sabah gidiyor, akşam gelmiyor.","altyapı,su sorunu"
Kesintiler düzensiz hale geldi.,"altyapı,su sorunu"
Yeni yapılan binalarda su yok.,"altyapı,su sorunu"
Tankerlerle idare ediyoruz.,"altyapı,su sorunu"
Su hattı sorunlu ama müdahale yok.,"altyapı,su sorunu"
"Basınç düşük, makineler çalışmıyor.","altyapı,su sorunu"
"Haftalardır aynı yerde kazı var, su kesik.","altyapı,su sorunu"
"TİSKİ’ye bildirdik, geri dönen olmadı.","altyapı,su sorunu"
"Yıkama işleri aksıyor, rezil olduk.","altyapı,su sorunu"
Su tankerleri gönderilmiyor.,"altyapı,su sorunu"
Sular haber verilmeden kesiliyor.,"altyapı,su sorunu"
"Evde bakım var, su kesildi.","altyapı,su sorunu"
TİSKİ web sitesi çalışmıyor.,"altyapı,su sorunu"
TİSKİ ekipleri geç geliyor.,"altyapı,su sorunu"
"Musluklardan su akmıyor, bilgi alamıyoruz.","altyapı,su sorunu"
Her yer çamur ama su yok.,"altyapı,su sorunu"
Mahallede haftada iki gün su var.,"altyapı,su sorunu"
TİSKİ’ye ulaşamıyoruz.,"altyapı,su sorunu"
TİSKİ çağrı merkezi meşgul.,"altyapı,su sorunu"
Sular sabaha kadar kesik kalıyor.,"altyapı,su sorunu"
Tatil günü su kesintisi oldu.,"altyapı,su sorunu"
"Sular gitti, temizlik yapamıyoruz.","altyapı,su sorunu"
Su deposu çalışmıyor.,"altyapı,su sorunu"
"Bulaşıklar birikti, su yok.","altyapı,su sorunu"
Su bidonlarıyla taşımak zorundayız.,"altyapı,su sorunu"
Su saatimiz düzgün çalışmıyor.,"altyapı,su sorunu"
Suların akışı kesik kesik.,"altyapı,su sorunu"
"Sular gitti, kombi hata verdi.","altyapı,su sorunu"
Düğün günü su kesildi.,"altyapı,su sorunu"
Suyun ne zaman geleceği belli olmuyor.,"altyapı,su sorunu"
Suyun ne zaman geleceği belli değil.,"altyapı,su sorunu"
Yol kazısı su borusunu patlattı.,"altyapı,su sorunu"
"Depo dolmuyor, su gelmiyor.","altyapı,su sorunu"
Sular gece 12'de kesiliyor.,"altyapı,su sorunu"
"Hastamız var, su gerekiyor.","altyapı,su sorunu"
Her ay su borusu patlıyor.,"altyapı,su sorunu"
Her gün saat 10’da su gidiyor.,"altyapı,su sorunu"
Sular sürekli kesiliyor.,"altyapı,su sorunu"
Su gelince kahverengi akıyor.,"altyapı,su sorunu"
Su arızası için günlerdir bekliyoruz.,"altyapı,su sorunu"
Su aboneliği açıldı ama bağlantı yapılmadı.,"altyapı,su sorunu"
"Sular uzun süredir gelmiyor, çocuklar perişan.","altyapı,su sorunu"
Su yok,"altyapı,su sorunu"
Sular yok,"altyapı,su sorunu"
Musluktan su akmıyor,"altyapı,su sorunu"
"Mahallemizdeki ana yol çukurlarla dolu, araçlarımız zarar görüyor.","ulaşım,yol sorunu"
"Yolda oluşan büyük çukur kazaya sebep oldu, acil müdahale gerekiyor.","ulaşım,yol sorunu"
"Her yağmurda yol göle dönüyor, drenaj sistemi yetersiz.","ulaşım,yol sorunu"
"Yaya kaldırımları kırık dökük, yaşlılar ve engelliler için çok tehlikeli.","ulaşım,yol sorunu"
"Mahallemize çıkan yol asfalt değil, çamur içinde kalıyoruz.","ulaşım,yol sorunu"
"Yolun kenarında bariyer yok, çocuklar için çok tehlikeli.","ulaşım,yol sorunu"
"Bozuk yollar yüzünden aracımın amortisörleri zarar gördü.","ulaşım,yol sorunu"
"Ara sokaklar toprak yol ve çok dar, ambulans bile giremiyor.","ulaşım,yol sorunu"
"Yeni yapılan asfalt 2 haftada söküldü, düzgün malzeme kullanılmamış.","ulaşım,yol sorunu"
"Yol çizgileri silinmiş, gece sürüşü çok tehlikeli oluyor.","ulaşım,yol sorunu"
"Yol kenarındaki çukura düşen motosiklet sürücüsü yaralandı.","ulaşım,yol sorunu"
"Kaldırımlar düzensiz ve eğimli, bebek arabasıyla yürümek imkânsız.","ulaşım,yol sorunu"
"Bozuk yol nedeniyle posta ve kargo araçları gelmek istemiyor.","ulaşım,yol sorunu"
"Okul yolundaki asfalt parçalanmış, çocuklar yürürken düşüyor.","ulaşım,yol sorunu"
"Yolda asfalt yamaları çok kötü yapılmış, araba sekiyor.","ulaşım,yol sorunu"
"Yağmur sonrası yol çamur deryasına dönüyor, ulaşım sağlanamıyor.","ulaşım,yol sorunu"
"Köy yolu toprak ve taşlı, özellikle kışın büyük sıkıntı yaşıyoruz.","ulaşım,yol sorunu"
"Yeni yapılan yol çok dar, iki araç zor geçiyor.","ulaşım,yol sorunu"
"Mahallemiz ile ana yol bağlantısı yok, her yer çukur.","ulaşım,yol sorunu"
"Kaldırım taşları yerinden çıkmış, gece fark edilmesi zor.","ulaşım,yol sorunu"
"Asfalt yolun ortasında büyük bir çukur var, aylardır onarılmadı.","ulaşım,yol sorunu"
"Yol yapım çalışması durdu, ortalık inşaat alanına döndü.","ulaşım,yol sorunu"
"Caddeye dökülen mıcır taşlar lastiklere zarar veriyor.","ulaşım,yol sorunu"
"Kış aylarında yol buzlanıyor ama tuzlama yapılmıyor.","ulaşım,yol sorunu"
"Yol üzerindeki kasisler çok yüksek, araç altı sürtüyor.","ulaşım,yol sorunu"
"Bozuk yolda yürümeye çalışırken bileğim burkuldu.","ulaşım,yol sorunu"
"Yolun her iki yanında da kaldırım yok, yayalar araçlarla aynı yolu kullanmak zorunda.","ulaşım,yol sorunu"
"Yol üzerinde asfalt kabarması var, bisikletle giderken düşme tehlikesi oluşuyor.","ulaşım,yol sorunu"
"Yolun bazı bölümleri çökmüş gibi, araçlar zikzak yapmak zorunda kalıyor.","ulaşım,yol sorunu"
"Mahallemizin giriş yolu karanlık ve virajlı, kaza riski çok yüksek.","ulaşım,yol sorunu"
"Yaya geçidi çizgileri görünmüyor, sürücüler yayaları fark etmiyor.","ulaşım,yol sorunu"
"Yol kenarlarında drenaj yok, su birikintileri oluşuyor.","ulaşım,yol sorunu"
"Her sabah okul servisleri bozuk yol nedeniyle geç kalıyor.","ulaşım,yol sorunu"
"Yolun asfaltı kalkmış, taş ve mıcır ortaya çıkmış.","ulaşım,yol sorunu"
"Cadde boyunca çöp kamyonları geçemiyor çünkü yol çok dar.","ulaşım,yol sorunu"
"Parke taşları sökülmüş, yer yer çukurlar oluşmuş.","ulaşım,yol sorunu"
"Ana yol ile evimin arası stabilize yol, yazın toz, kışın çamur oluyor.","ulaşım,yol sorunu"
"Köprü girişiyle yol arasında büyük bir seviye farkı var, araçlar zarar görüyor.","ulaşım,yol sorunu"
"Kaldırımlar engelli kullanımına uygun değil, rampa yok.","ulaşım,yol sorunu"
"Asfalt çalışması sırasında yollar düzgün tesviye edilmemiş.","ulaşım,yol sorunu"
"Yol kenarındaki ağaç kökleri kaldırımı bozmuş, yürümek çok zor.","ulaşım,yol sorunu"
"Yol kenarlarında hiçbir uyarı levhası yok.","ulaşım,yol sorunu"
"Yeni yapılan yolun asfaltı dökülmüş gibi, her yer dökülüyor.","ulaşım,yol sorunu"
"Kışın karla kaplı yolda tuzlama ve temizlik hiç yapılmıyor.","ulaşım,yol sorunu"
"Mahalle içi yollar gece geç saatlerde aydınlatmasız, tehlikeli.","ulaşım,yol sorunu"
"Bozuk yollar nedeniyle otobüsler mahalleye girmeyi reddediyor.","ulaşım,yol sorunu"
"Asfalt döküldü ama kenarlara zift taşmış, yürümek imkânsız.","ulaşım,yol sorunu"
"Yol çalışması yapılacağı söylendi ama aylar geçti ses yok.","ulaşım,yol sorunu"
"Parke taşları gevşek, yürürken taş yerinden oynuyor.","ulaşım,yol sorunu"
"Yol ortasında açılan çukur etrafında önlem alınmamış.","ulaşım,yol sorunu"
"Alt geçit yolu sel basıyor, araçlar mahsur kalıyor.","ulaşım,yol sorunu"
"Yolda asfalt tamamen erimiş ve kaygan bir yüzey oluşmuş.","ulaşım,yol sorunu"
"Okul çevresindeki yollar öğrenciler için büyük tehlike oluşturuyor.","ulaşım,yol sorunu"
"Bisiklet yolu olarak ayrılmış alan araçlar tarafından işgal ediliyor.","ulaşım,yol sorunu"
"Asfalt yolda yama üstüne yama yapılmış, düzgün bir sürüş yok.","ulaşım,yol sorunu"
"Yol çalışması başladı ama bitmedi, toprak yol olarak kaldı.","ulaşım,yol sorunu"
"Yolun kenarındaki logar kapağı açık, kazaya davetiye çıkarıyor.","ulaşım,yol sorunu"
"Yağmur sonrası yollar adeta bataklığa dönüşüyor.","ulaşım,yol sorunu"
"Kaldırımlar çok dar, iki kişi yan yana yürüyemiyor.","ulaşım,yol sorunu"
"Toplu taşıma güzergahındaki yollar bozuk, yolculuk çok sarsıntılı.","ulaşım,yol sorunu"
"Kırsal mahallemizde yol altyapısı tamamen yok.","ulaşım,yol sorunu"
"Yağmur sonrası yolun altı çöktü, zemin oynuyor.","ulaşım,yol sorunu"
"Yeni yapılan kaldırımlar 1 ay içinde çatlamaya başladı.","ulaşım,yol sorunu"
"Yol kenarındaki tabela devrilmiş, sürücüleri uyaracak levha yok.","ulaşım,yol sorunu"
"Binalara girişte yol çamurla dolu, vatandaş zorluk yaşıyor.","ulaşım,yol sorunu"
"Cadde üzerindeki asfalt düzgün değil, tekerlek yönünü değiştiriyor.","ulaşım,yol sorunu"
"Kamyonlar geçtiği yolda çökme oluşturmuş, asfalt dayanıklı değil.","ulaşım,yol sorunu"
"Yolun her iki tarafında park edilmiş araçlar geçişi engelliyor.","ulaşım,yol sorunu"
"Mahalle içindeki yolların asfaltı çok eski, yenilenmesi lazım.","ulaşım,yol sorunu"
"Köy yoluna asfalt hiç dökülmemiş, yıllardır aynı halde.","ulaşım,yol sorunu"
"Yol kenarındaki menfezler çökmüş, kaldırım da zarar görmüş.","ulaşım,yol sorunu"
"Yaya geçidi rampası yok, engelli bireyler zorluk yaşıyor.","ulaşım,yol sorunu"
"Asfalt sonrası hiçbir temizlik yapılmadı, yollar zift içinde.","ulaşım,yol sorunu"
"Yol üzerindeki mazgallar yerinden çıkmış, lastik içine giriyor.","ulaşım,yol sorunu"
"Otobüs durağı önündeki yol çamur içinde, yolcular beklerken ıslanıyor.","ulaşım,yol sorunu"
"Mahalle aralarındaki yollar bakımsız ve delik deşik.","ulaşım,yol sorunu"
"Yol kenarına yapılan bordür taşları çıkmış, insanlar takılıyor.","ulaşım,yol sorunu"
"Köprüden sonraki bağlantı yolu bozuk, araçlar ani zıplıyor.","ulaşım,yol sorunu"
"Her araç geçtiğinde toz kalkıyor, cam açamıyoruz.","ulaşım,yol sorunu"
"Yol kenarları otlarla kaplanmış, görüş mesafesi düşüyor.","ulaşım,yol sorunu"
"Yaya geçidinin olduğu yerde yol eğimi fazla, su birikiyor.","ulaşım,yol sorunu"
"Toprak yolda araçlar kayıyor, trafik kazaları sıklaştı.","ulaşım,yol sorunu"
"Yağmur sonrası yolun bir bölümü çöktü, acil müdahale şart.","ulaşım,yol sorunu"
"Yeni asfaltlanan yol 1 ay içinde çatlamaya başladı.","ulaşım,yol sorunu"
"Okul yolu boyunca hiçbir kaldırım yok, öğrenciler yolda yürüyor.","ulaşım,yol sorunu"
"Cadde boyunca rögar kapakları asfalt seviyesinden aşağıda.","ulaşım,yol sorunu"
"Yol üzerindeki zift yüzey lastiğe yapışıyor, çıkarması zor.","ulaşım,yol sorunu"
"Köy yolları stabilize değil, taşlı topraklı ve çok engebeli.","ulaşım,yol sorunu"
"Gece yol kenarında aydınlatma olmadığı için hayvanlara çarpmalar yaşanıyor.","ulaşım,yol sorunu"
"Yolun sağ şeridi tamamen çökmüş, tek şeritten geçiş sağlanıyor.","ulaşım,yol sorunu"
"Mahallemize ulaşan yol yarıda kesilmiş, devamı çamurluk.","ulaşım,yol sorunu"
"Yolun başında bakım çalışması tabelası var ama hiç çalışma yapılmıyor.","ulaşım,yol sorunu"
"Bozuk yollardan dolayı aracın jantı yamuldu, zararımı kim karşılayacak?","ulaşım,yol sorunu"
"Köyümüzde yağmur yağınca yollar tamamen ulaşıma kapanıyor.","ulaşım,yol sorunu"
"Mahallemizde uzun süredir devam eden yol sorunu var","ulaşım,yol sorunu"
"Yol sorunu yüzünden araçlarımız zarar görüyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle ambulanslar gecikiyor","ulaşım,yol sorunu"
"Yağmur sonrası ortaya çıkan yol sorunu çözüme kavuşmalı","ulaşım,yol sorunu"
"Yol sorunu çocukların okula güvenli ulaşmasını engelliyor","ulaşım,yol sorunu"
"Belediyenin ilgisizliği yüzünden yol sorunu büyüyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle evimize servis araçları giremiyor","ulaşım,yol sorunu"
"Yol sorunu mahallemizde yaşam kalitesini düşürüyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle kışın ulaşım neredeyse imkânsız","ulaşım,yol sorunu"
"Yol sorunu araçların alt kısmına zarar veriyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden yollar sürekli çamur oluyor","ulaşım,yol sorunu"
"Yol sorunu mahallede ciddi trafik sorunlarına yol açıyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden okula giden servisler aksıyor","ulaşım,yol sorunu"
"Yol sorunu yayalar için büyük tehlike oluşturuyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle sokak aydınlatması yetersiz kalıyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden ambulans ve itfaiye geç kalıyor","ulaşım,yol sorunu"
"Yol sorunu trafik kazalarını artırıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle araçlar sürekli tamir masrafı çıkarıyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden mahallemize kargo teslimatı zorlaşıyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden okula gidiş gelişler gecikiyor","ulaşım,yol sorunu"
"Yol sorunu sebebiyle çocuklar güvenli yürüyemiyor","ulaşım,yol sorunu"
"Yol sorunu araç sürücülerini çok zorluyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle mahalle sakinleri mağdur oluyor","ulaşım,yol sorunu"
"Yol sorunu bölgede ciddi şikayetlere sebep oluyor","ulaşım,yol sorunu"
"Yol sorunu belediyenin acil müdahalesini gerektiriyor","ulaşım,yol sorunu"
"Yol sorunu yağmur sonrası daha da kötüleşiyor","ulaşım,yol sorunu"
"Yol sorunu sebebiyle mahalleye ulaşım güçleşiyor","ulaşım,yol sorunu"
"Yol sorunu çocukların okul servislerine binmesini zorlaştırıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle araçlar yolda sık sık arızalanıyor","ulaşım,yol sorunu"
"Yol sorunu trafik akışını ciddi şekilde etkiliyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden mahallede kaza riski artıyor","ulaşım,yol sorunu"
"Yol sorunu araçların lastiklerini aşındırıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle gece trafiği çok riskli","ulaşım,yol sorunu"
"Yol sorunu sebebiyle mahallede yaşam zorlaşıyor","ulaşım,yol sorunu"
"Yol sorunu mahallede toz ve çamur sorununa yol açıyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden yollar her yağmurda bozuluyor","ulaşım,yol sorunu"
"Yol sorunu bölgede sıkça tartışılan bir konu","ulaşım,yol sorunu"
"Yol sorunu çocukların okul yolunu tehlikeli hale getiriyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden mahallede ulaşım aksıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle mahallede toplu taşıma zorlaşıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle mahalle trafiği kaosa dönüyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden ambulans yolları kullanamıyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle evlere ulaşım gecikiyor","ulaşım,yol sorunu"
"Yol sorunu çocukların okula zamanında gitmesini engelliyor","ulaşım,yol sorunu"
"Yol sorunu sebebiyle mahalle halkı mağdur oluyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle trafik sıkışıklığı yaşanıyor","ulaşım,yol sorunu"
"Yol sorunu mahalle sakinlerinin şikayet konusu","ulaşım,yol sorunu"
"Yol sorunu araçların performansını etkiliyor","ulaşım,yol sorunu"
"Yol sorunu sebebiyle kışın ulaşım zorlaşıyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden ambulans geç kalıyor","ulaşım,yol sorunu"
"Yol sorunu sebebiyle kargo teslimatları gecikiyor","ulaşım,yol sorunu"
"Yol sorunu okul servislerini olumsuz etkiliyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden yayalar tehlike yaşıyor","ulaşım,yol sorunu"
"Yol sorunu mahallede ciddi şikayetlere neden oluyor","ulaşım,yol sorunu"
"Yol sorunu nedeniyle araçlar hasar görüyor","ulaşım,yol sorunu"
"Yol sorunu yüzünden trafik kazaları artıyor","ulaşım,yol sorunu"
"Yol sorunu yetkililer tarafından çözülmeli","ulaşım,yol sorunu"
"Yol sorunu nedeniyle ambulans ve itfaiye geç kalıyor","ulaşım,yol sorunu"
"Yol sorunu çocukların okula ulaşmasını engelliyor","ulaşım,yol sorunu"
